Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
